ParticipantName	RecordingDate	RecordingDuration	MediaName	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEvent	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AbsoluteSaccadicDirection	RelativeSaccadicDirection	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	
Leon	18/07/2018	40171		15	16:49:44.879	1167609865062836												Unclassified	37						1																			-8,38						4	4	
Leon	18/07/2018	40171		37	16:49:44.901	1167609865085164												Unclassified	37						2																			-8,38						4	4	
Leon	18/07/2018	40171		66	16:49:44.929	1167609865113505												Unclassified	26						3	844	579	855	585	849	582			237,63	132,47	240,83	130,85	239,23	131,66	183,95	212,04	606,76	245,21	217,24	606,72	632,87	632,87	3,86	3,53	0	0	
Leon	18/07/2018	40171		89	16:49:44.953	1167609865136837										1		Fixation	579						4	835	586	863	578	849	582			235,09	130,67	242,93	132,77	239,01	131,72	183,93	212,02	606,78	245,15	217,25	606,78	632,89	632,89	3,89	3,50	0	0	
Leon	18/07/2018	40171		118	16:49:44.982	1167609865165981										1		Fixation	579						5	842	566	875	579	858	572			237,04	136,15	246,37	132,70	241,70	134,43	183,85	212,00	606,91	245,09	217,24	606,81	633,01	633,01	3,96	3,64	0	0	
Leon	18/07/2018	40171		148	16:49:45.012	1167609865195971										1		Fixation	579						6	829	551	856	558	842	554			233,31	140,58	241,00	138,46	237,16	139,52	183,79	211,89	606,78	245,01	217,20	606,91	632,86	632,86	3,94	3,63	0	0	
Leon	18/07/2018	40171		179	16:49:45.042	1167609865226399										1		Fixation	579						7	828	575	846	584	837	579			233,13	133,72	238,07	131,13	235,60	132,42	183,71	211,90	606,94	244,93	217,15	606,83	633,01	633,01	3,93	3,62	0	0	
Leon	18/07/2018	40171		210	16:49:45.074	1167609865257929										1		Fixation	579						8	805	570	847	578	826	574			226,62	135,10	238,37	132,90	232,50	134,00	183,63	211,94	606,99	244,83	217,24	606,95	633,08	633,08	3,96	3,67	0	0	
Leon	18/07/2018	40171		242	16:49:45.105	1167609865289515										1		Fixation	579						9	813	570	851	579	832	574			228,85	135,04	239,67	132,74	234,26	133,89	183,53	211,95	607,05	244,71	217,24	607,00	633,15	633,15	3,97	3,63	0	0	
Leon	18/07/2018	40171		272	16:49:45.136	1167609865320355										1		Fixation	579						10	804	576	866	582	835	579			226,35	133,32	243,94	131,75	235,15	132,53	183,46	211,94	607,11	244,62	217,21	606,92	633,20	633,20	3,94	3,64	0	0	
Leon	18/07/2018	40171		303	16:49:45.167	1167609865350871										1		Fixation	579						11	815	572	842	547	828	559			229,57	134,47	237,06	141,75	233,31	138,11	183,37	211,92	607,15	244,55	217,28	607,10	633,25	633,25	3,90	3,55	0	0	
Leon	18/07/2018	40171		337	16:49:45.200	1167609865384614										1		Fixation	579						12	813	568	852	554	832	561			228,95	135,79	239,99	139,53	234,47	137,66	183,32	211,90	607,13	244,47	217,21	606,89	633,22	633,22	3,85	3,48	0	0	
Leon	18/07/2018	40171	Screen Recordings (1)	361	16:49:45.225										ScreenRecStarted	1		Fixation	579	831	565																															
Leon	18/07/2018	40171	Screen Recordings (1)	369	16:49:45.233	1167609865416987										1		Fixation	579	831	565				13	822	572	842	561	832	566	832	566	231,44	134,53	237,04	137,75	234,24	136,14	183,30	211,90	607,08	244,44	217,24	606,91	633,18	633,18	3,76	3,38	0	0	
Leon	18/07/2018	40171	Screen Recordings (1)	401	16:49:45.265	1167609865448789										1		Fixation	579	831	565				14	811	577	838	527	824	552	824	552	228,22	133,14	235,89	147,12	232,05	140,13	183,30	211,88	607,06	244,44	217,22	606,88	633,16	633,16	3,65	3,30	0	0	
Leon	18/07/2018	40171	Screen Recordings (1)	432	16:49:45.295	1167609865479579										1		Fixation	579	831	565				15	804	559	833	529	818	544	818	544	226,50	138,11	234,64	146,55	230,57	142,33	183,33	211,86	607,02	244,47	217,20	606,89	633,11	633,11	3,55	3,25	0	0	
Leon	18/07/2018	40171	Screen Recordings (1)	463	16:49:45.326	1167609865510533										1		Fixation	579	831	565				16	822	565	828	530	825	547	825	547	231,41	136,56	233,16	146,46	232,28	141,51	183,37	211,85	606,93	244,51	217,23	606,96	633,01	633,01	3,51	3,21	0	0	
Leon	18/07/2018	40171	Screen Recordings (1)	493	16:49:45.357	1167609865541145										1		Fixation	579	831	565				17	823	580	842	555	832	567	832	567	231,60	132,29	236,95	139,29	234,28	135,79	183,43	211,85	606,80	244,56	217,24	606,92	632,89	632,89	3,48	3,16	0	0	
Leon	18/07/2018	40171	Screen Recordings (1)	523	16:49:45.387	1167609865570971										1		Fixation	579	831	565				18	825	573	821	550	823	561	823	561	232,25	134,29	231,18	140,79	231,71	137,54	183,47	211,84	606,74	244,60	217,17	606,74	632,83	632,83	3,45	3,09	0	0	
