Date;Timestamp;Participant;Aid;Phase;BlockID;Device;Event;PosX;PosY;Key;Other
25/07/2018 16:32:51.328;193;Jerome;StickerKeyboard;2;2;Mouse;Move;1388;201;none;none
25/07/2018 16:32:51.336;201;Jerome;StickerKeyboard;2;2;Mouse;Move;1388;201;none;none
25/07/2018 16:32:51.344;209;Jerome;StickerKeyboard;2;2;Mouse;Move;1386;201;none;none
25/07/2018 16:32:51.352;217;Jerome;StickerKeyboard;2;2;Mouse;Move;1384;202;none;none
25/07/2018 16:32:51.360;225;Jerome;StickerKeyboard;2;2;Mouse;Move;1381;203;none;none
25/07/2018 16:32:51.368;233;Jerome;StickerKeyboard;2;2;Mouse;Move;1377;206;none;none
25/07/2018 16:32:51.376;241;Jerome;StickerKeyboard;2;2;Mouse;Move;1371;209;none;none
25/07/2018 16:32:51.384;249;Jerome;StickerKeyboard;2;2;Mouse;Move;1364;212;none;none
25/07/2018 16:32:51.392;257;Jerome;StickerKeyboard;2;2;Mouse;Move;1357;215;none;none
25/07/2018 16:32:51.400;265;Jerome;StickerKeyboard;2;2;Mouse;Move;1345;220;none;none
25/07/2018 16:32:51.408;273;Jerome;StickerKeyboard;2;2;Mouse;Move;1333;223;none;none
25/07/2018 16:32:51.416;281;Jerome;StickerKeyboard;2;2;Mouse;Move;1317;228;none;none
25/07/2018 16:32:51.424;289;Jerome;StickerKeyboard;2;2;Mouse;Move;1297;234;none;none
25/07/2018 16:32:51.432;297;Jerome;StickerKeyboard;2;2;Mouse;Move;1267;240;none;none
25/07/2018 16:32:51.440;305;Jerome;StickerKeyboard;2;2;Mouse;Move;1229;248;none;none
25/07/2018 16:32:51.448;313;Jerome;StickerKeyboard;2;2;Mouse;Move;1186;253;none;none
25/07/2018 16:32:51.456;321;Jerome;StickerKeyboard;2;2;Mouse;Move;1135;261;none;none
25/07/2018 16:32:51.464;329;Jerome;StickerKeyboard;2;2;Mouse;Move;1081;267;none;none
25/07/2018 16:32:51.472;337;Jerome;StickerKeyboard;2;2;Mouse;Move;1019;273;none;none
25/07/2018 16:32:51.479;345;Jerome;StickerKeyboard;2;2;Mouse;Move;954;278;none;none
25/07/2018 16:32:51.487;353;Jerome;StickerKeyboard;2;2;Mouse;Move;884;284;none;none
25/07/2018 16:32:51.495;361;Jerome;StickerKeyboard;2;2;Mouse;Move;817;288;none;none
25/07/2018 16:32:51.503;369;Jerome;StickerKeyboard;2;2;Mouse;Move;750;292;none;none
25/07/2018 16:32:51.511;377;Jerome;StickerKeyboard;2;2;Mouse;Move;686;294;none;none
25/07/2018 16:32:51.519;385;Jerome;StickerKeyboard;2;2;Mouse;Move;622;296;none;none
25/07/2018 16:32:51.527;393;Jerome;StickerKeyboard;2;2;Mouse;Move;567;296;none;none
25/07/2018 16:32:51.536;401;Jerome;StickerKeyboard;2;2;Mouse;Move;511;296;none;none
25/07/2018 16:32:51.544;409;Jerome;StickerKeyboard;2;2;Mouse;Move;461;296;none;none
25/07/2018 16:32:51.552;417;Jerome;StickerKeyboard;2;2;Mouse;Move;408;295;none;none
25/07/2018 16:32:51.560;425;Jerome;StickerKeyboard;2;2;Mouse;Move;369;294;none;none
25/07/2018 16:32:51.568;433;Jerome;StickerKeyboard;2;2;Mouse;Move;327;292;none;none
25/07/2018 16:32:51.576;441;Jerome;StickerKeyboard;2;2;Mouse;Move;284;288;none;none
25/07/2018 16:32:51.584;449;Jerome;StickerKeyboard;2;2;Mouse;Move;253;287;none;none
25/07/2018 16:32:51.592;457;Jerome;StickerKeyboard;2;2;Mouse;Move;225;285;none;none
25/07/2018 16:32:51.600;465;Jerome;StickerKeyboard;2;2;Mouse;Move;207;284;none;none
25/07/2018 16:32:51.614;479;Jerome;StickerKeyboard;2;2;Mouse;Move;193;283;none;none
25/07/2018 16:32:51.616;481;Jerome;StickerKeyboard;2;2;Mouse;Move;182;283;none;none
25/07/2018 16:32:51.623;489;Jerome;StickerKeyboard;2;2;Mouse;Move;176;283;none;none
25/07/2018 16:32:51.631;497;Jerome;StickerKeyboard;2;2;Mouse;Move;173;283;none;none
25/07/2018 16:32:51.639;505;Jerome;StickerKeyboard;2;2;Mouse;Move;172;283;none;none
25/07/2018 16:32:51.663;529;Jerome;StickerKeyboard;2;2;Mouse;Move;172;283;none;none
25/07/2018 16:32:51.679;545;Jerome;StickerKeyboard;2;2;Mouse;Move;172;282;none;none
25/07/2018 16:32:51.687;553;Jerome;StickerKeyboard;2;2;Mouse;Move;172;282;none;none
