Date;Timestamp;Participant;Aid;Phase;BlockID;Device;Event;PosX;PosY;Key;Other
18/07/2018 16:31:04.309;20;Leon;ExposeHK;1;1;none;none;none;none;none;Focus Gained
18/07/2018 16:31:05.57;768;Leon;ExposeHK;1;1;Mouse;Move;1241;715;none;none
18/07/2018 16:31:05.62;773;Leon;ExposeHK;1;1;Mouse;Move;1240;715;none;none
18/07/2018 16:31:05.70;781;Leon;ExposeHK;1;1;Mouse;Move;1226;705;none;none
18/07/2018 16:31:05.78;789;Leon;ExposeHK;1;1;Mouse;Move;1204;689;none;none
18/07/2018 16:31:05.86;797;Leon;ExposeHK;1;1;Mouse;Move;1173;667;none;none
18/07/2018 16:31:05.94;805;Leon;ExposeHK;1;1;Mouse;Move;1137;645;none;none
18/07/2018 16:31:05.102;813;Leon;ExposeHK;1;1;Mouse;Move;1096;619;none;none
18/07/2018 16:31:05.109;820;Leon;ExposeHK;1;1;Mouse;Move;1050;593;none;none
18/07/2018 16:31:05.117;828;Leon;ExposeHK;1;1;Mouse;Move;998;566;none;none
18/07/2018 16:31:05.125;836;Leon;ExposeHK;1;1;Mouse;Move;944;539;none;none
18/07/2018 16:31:05.134;845;Leon;ExposeHK;1;1;Mouse;Move;890;514;none;none
18/07/2018 16:31:05.142;853;Leon;ExposeHK;1;1;Mouse;Move;833;489;none;none
18/07/2018 16:31:05.150;861;Leon;ExposeHK;1;1;Mouse;Move;774;461;none;none
18/07/2018 16:31:05.160;871;Leon;ExposeHK;1;1;Mouse;Move;717;436;none;none
18/07/2018 16:31:05.166;877;Leon;ExposeHK;1;1;Mouse;Move;663;414;none;none
18/07/2018 16:31:05.174;885;Leon;ExposeHK;1;1;Mouse;Move;612;391;none;none
18/07/2018 16:31:05.182;893;Leon;ExposeHK;1;1;Mouse;Move;564;369;none;none
18/07/2018 16:31:05.190;901;Leon;ExposeHK;1;1;Mouse;Move;524;352;none;none
18/07/2018 16:31:05.198;909;Leon;ExposeHK;1;1;Mouse;Move;489;337;none;none
18/07/2018 16:31:05.206;917;Leon;ExposeHK;1;1;Mouse;Move;458;323;none;none
18/07/2018 16:31:05.214;925;Leon;ExposeHK;1;1;Mouse;Move;440;316;none;none
18/07/2018 16:31:05.222;933;Leon;ExposeHK;1;1;Mouse;Move;422;308;none;none
18/07/2018 16:31:05.230;941;Leon;ExposeHK;1;1;Mouse;Move;411;303;none;none
18/07/2018 16:31:05.238;949;Leon;ExposeHK;1;1;Mouse;Move;402;299;none;none
18/07/2018 16:31:05.246;957;Leon;ExposeHK;1;1;Mouse;Move;397;296;none;none
18/07/2018 16:31:05.254;965;Leon;ExposeHK;1;1;Mouse;Move;395;295;none;none
18/07/2018 16:31:05.262;973;Leon;ExposeHK;1;1;Mouse;Move;394;295;none;none
18/07/2018 16:31:05.310;1021;Leon;ExposeHK;1;1;Mouse;Move;394;294;none;none
18/07/2018 16:31:05.317;1028;Leon;ExposeHK;1;1;Mouse;Move;394;294;none;none
18/07/2018 16:31:05.325;1036;Leon;ExposeHK;1;1;Mouse;Move;394;293;none;none
18/07/2018 16:31:05.333;1044;Leon;ExposeHK;1;1;Mouse;Move;394;293;none;none
18/07/2018 16:31:05.341;1052;Leon;ExposeHK;1;1;Mouse;Move;395;292;none;none
18/07/2018 16:31:05.349;1060;Leon;ExposeHK;1;1;Mouse;Move;396;290;none;none
