Date;Timestamp;Participant;Aid;Phase;BlockID;Device;Event;PosX;PosY;Key;Other
18/07/2018 16:50:14.87;171;Leon;ExposeKeyboard;2;2;Mouse;Move;1402;200;none;none
18/07/2018 16:50:14.95;179;Leon;ExposeKeyboard;2;2;Mouse;Move;1402;200;none;none
18/07/2018 16:50:14.102;186;Leon;ExposeKeyboard;2;2;Mouse;Move;1402;200;none;none
18/07/2018 16:50:14.110;194;Leon;ExposeKeyboard;2;2;Mouse;Move;1402;200;none;none
18/07/2018 16:50:14.118;202;Leon;ExposeKeyboard;2;2;Mouse;Move;1401;200;none;none
18/07/2018 16:50:14.126;210;Leon;ExposeKeyboard;2;2;Mouse;Move;1400;200;none;none
18/07/2018 16:50:14.134;218;Leon;ExposeKeyboard;2;2;Mouse;Move;1398;201;none;none
18/07/2018 16:50:14.142;226;Leon;ExposeKeyboard;2;2;Mouse;Move;1397;202;none;none
18/07/2018 16:50:14.150;234;Leon;ExposeKeyboard;2;2;Mouse;Move;1395;202;none;none
18/07/2018 16:50:14.158;242;Leon;ExposeKeyboard;2;2;Mouse;Move;1392;204;none;none
18/07/2018 16:50:14.166;250;Leon;ExposeKeyboard;2;2;Mouse;Move;1389;205;none;none
18/07/2018 16:50:14.174;258;Leon;ExposeKeyboard;2;2;Mouse;Move;1384;207;none;none
18/07/2018 16:50:14.182;266;Leon;ExposeKeyboard;2;2;Mouse;Move;1377;209;none;none
18/07/2018 16:50:14.190;274;Leon;ExposeKeyboard;2;2;Mouse;Move;1367;212;none;none
18/07/2018 16:50:14.198;282;Leon;ExposeKeyboard;2;2;Mouse;Move;1355;214;none;none
18/07/2018 16:50:14.206;290;Leon;ExposeKeyboard;2;2;Mouse;Move;1340;216;none;none
18/07/2018 16:50:14.214;298;Leon;ExposeKeyboard;2;2;Mouse;Move;1318;220;none;none
18/07/2018 16:50:14.222;306;Leon;ExposeKeyboard;2;2;Mouse;Move;1291;225;none;none
18/07/2018 16:50:14.230;314;Leon;ExposeKeyboard;2;2;Mouse;Move;1264;232;none;none
18/07/2018 16:50:14.238;322;Leon;ExposeKeyboard;2;2;Mouse;Move;1226;237;none;none
18/07/2018 16:50:14.246;330;Leon;ExposeKeyboard;2;2;Mouse;Move;1188;244;none;none
18/07/2018 16:50:14.255;339;Leon;ExposeKeyboard;2;2;Mouse;Move;1147;254;none;none
18/07/2018 16:50:14.263;347;Leon;ExposeKeyboard;2;2;Mouse;Move;1106;263;none;none
18/07/2018 16:50:14.271;355;Leon;ExposeKeyboard;2;2;Mouse;Move;1059;273;none;none
18/07/2018 16:50:14.279;363;Leon;ExposeKeyboard;2;2;Mouse;Move;1013;284;none;none
18/07/2018 16:50:14.287;371;Leon;ExposeKeyboard;2;2;Mouse;Move;969;294;none;none
18/07/2018 16:50:14.295;379;Leon;ExposeKeyboard;2;2;Mouse;Move;923;302;none;none
18/07/2018 16:50:14.303;387;Leon;ExposeKeyboard;2;2;Mouse;Move;877;309;none;none
18/07/2018 16:50:14.311;395;Leon;ExposeKeyboard;2;2;Mouse;Move;833;317;none;none
18/07/2018 16:50:14.318;402;Leon;ExposeKeyboard;2;2;Mouse;Move;793;324;none;none
18/07/2018 16:50:14.334;418;Leon;ExposeKeyboard;2;2;Mouse;Move;749;332;none;none
18/07/2018 16:50:14.336;420;Leon;ExposeKeyboard;2;2;Mouse;Move;709;335;none;none
18/07/2018 16:50:14.342;426;Leon;ExposeKeyboard;2;2;Mouse;Move;672;341;none;none
18/07/2018 16:50:14.350;434;Leon;ExposeKeyboard;2;2;Mouse;Move;637;344;none;none
18/07/2018 16:50:14.358;442;Leon;ExposeKeyboard;2;2;Mouse;Move;604;344;none;none
18/07/2018 16:50:14.366;450;Leon;ExposeKeyboard;2;2;Mouse;Move;579;344;none;none
18/07/2018 16:50:14.375;459;Leon;ExposeKeyboard;2;2;Mouse;Move;559;344;none;none
18/07/2018 16:50:14.383;467;Leon;ExposeKeyboard;2;2;Mouse;Move;539;344;none;none
18/07/2018 16:50:14.390;474;Leon;ExposeKeyboard;2;2;Mouse;Move;525;342;none;none
18/07/2018 16:50:14.398;482;Leon;ExposeKeyboard;2;2;Mouse;Move;511;340;none;none
18/07/2018 16:50:14.406;490;Leon;ExposeKeyboard;2;2;Mouse;Move;499;339;none;none
18/07/2018 16:50:14.414;498;Leon;ExposeKeyboard;2;2;Mouse;Move;489;338;none;none
18/07/2018 16:50:14.422;506;Leon;ExposeKeyboard;2;2;Mouse;Move;482;337;none;none
18/07/2018 16:50:14.430;514;Leon;ExposeKeyboard;2;2;Mouse;Move;477;337;none;none
18/07/2018 16:50:14.438;522;Leon;ExposeKeyboard;2;2;Mouse;Move;471;336;none;none
18/07/2018 16:50:14.446;530;Leon;ExposeKeyboard;2;2;Mouse;Move;468;336;none;none
18/07/2018 16:50:14.454;538;Leon;ExposeKeyboard;2;2;Mouse;Move;466;336;none;none
