Date;Timestamp;Participant;Aid;Phase;BlockID;Device;Event;PosX;PosY;Key;Other
26/07/2018 15:24:17.226;20;Qiwei;ExposeHK;2;1;none;none;none;none;none;Focus Gained
26/07/2018 15:24:17.779;573;Qiwei;ExposeHK;2;1;Mouse;Move;1236;732;none;none
26/07/2018 15:24:17.848;642;Qiwei;ExposeHK;2;1;Mouse;Move;1237;730;none;none
26/07/2018 15:24:17.849;643;Qiwei;ExposeHK;2;1;Mouse;Move;1239;723;none;none
26/07/2018 15:24:18.2;797;Qiwei;ExposeHK;2;1;Mouse;Move;1240;723;none;none
26/07/2018 15:24:18.10;804;Qiwei;ExposeHK;2;1;Mouse;Move;1240;723;none;none
26/07/2018 15:24:18.18;813;Qiwei;ExposeHK;2;1;Mouse;Move;1242;724;none;none
26/07/2018 15:24:18.26;820;Qiwei;ExposeHK;2;1;Mouse;Move;1244;724;none;none
26/07/2018 15:24:18.34;828;Qiwei;ExposeHK;2;1;Mouse;Move;1245;724;none;none
26/07/2018 15:24:18.42;836;Qiwei;ExposeHK;2;1;Mouse;Move;1246;725;none;none
26/07/2018 15:24:18.50;844;Qiwei;ExposeHK;2;1;Mouse;Move;1246;725;none;none
26/07/2018 15:24:18.58;852;Qiwei;ExposeHK;2;1;Mouse;Move;1247;725;none;none
26/07/2018 15:24:18.66;860;Qiwei;ExposeHK;2;1;Mouse;Move;1248;726;none;none
26/07/2018 15:24:18.74;868;Qiwei;ExposeHK;2;1;Mouse;Move;1248;726;none;none
26/07/2018 15:24:18.82;876;Qiwei;ExposeHK;2;1;Mouse;Move;1249;726;none;none
26/07/2018 15:24:18.90;884;Qiwei;ExposeHK;2;1;Mouse;Move;1249;726;none;none
26/07/2018 15:24:18.98;892;Qiwei;ExposeHK;2;1;Mouse;Move;1250;727;none;none
26/07/2018 15:24:18.122;916;Qiwei;ExposeHK;2;1;Mouse;Move;1250;727;none;none
26/07/2018 15:24:18.154;948;Qiwei;ExposeHK;2;1;Mouse;Move;1250;727;none;none
26/07/2018 15:24:18.162;957;Qiwei;ExposeHK;2;1;Mouse;Move;1250;727;none;none
26/07/2018 15:24:18.170;964;Qiwei;ExposeHK;2;1;Mouse;Move;1248;727;none;none
26/07/2018 15:24:18.178;972;Qiwei;ExposeHK;2;1;Mouse;Move;1245;727;none;none
26/07/2018 15:24:18.186;980;Qiwei;ExposeHK;2;1;Mouse;Move;1241;727;none;none
26/07/2018 15:24:18.194;989;Qiwei;ExposeHK;2;1;Mouse;Move;1236;727;none;none
