Date;Timestamp;Participant;Aid;Phase;BlockID;Device;Event;PosX;PosY;Key;Other
31/07/2018 11:00:55.242;2;lklkl;StickerKeyboard;3;1;none;none;none;none;none;;Focus Gained
31/07/2018 11:00:55.352;115;lklkl;StickerKeyboard;3;1;Mouse;Move;1254;711;none;none
31/07/2018 11:00:55.362;122;lklkl;StickerKeyboard;3;1;Mouse;Move;1251;710;none;none
31/07/2018 11:00:55.372;130;lklkl;StickerKeyboard;3;1;Mouse;Move;1248;708;none;none
31/07/2018 11:00:55.372;138;lklkl;StickerKeyboard;3;1;Mouse;Move;1246;706;none;none
31/07/2018 11:00:55.382;146;lklkl;StickerKeyboard;3;1;Mouse;Move;1246;705;none;none
31/07/2018 11:00:55.392;154;lklkl;StickerKeyboard;3;1;Mouse;Move;1245;704;none;none
31/07/2018 11:00:55.412;170;lklkl;StickerKeyboard;3;1;Mouse;Move;1244;703;none;none
31/07/2018 11:00:55.422;179;lklkl;StickerKeyboard;3;1;Mouse;Move;1243;702;none;none
31/07/2018 11:00:55.422;180;lklkl;StickerKeyboard;3;1;Mouse;Move;1242;700;none;none
31/07/2018 11:00:55.432;190;lklkl;StickerKeyboard;3;1;Mouse;Move;1239;699;none;none
31/07/2018 11:00:55.432;194;lklkl;StickerKeyboard;3;1;Mouse;Move;1237;696;none;none
31/07/2018 11:00:55.442;202;lklkl;StickerKeyboard;3;1;Mouse;Move;1235;694;none;none
31/07/2018 11:00:55.452;210;lklkl;StickerKeyboard;3;1;Mouse;Move;1235;694;none;none
31/07/2018 11:00:55.452;218;lklkl;StickerKeyboard;3;1;Mouse;Move;1235;693;none;none
31/07/2018 11:00:55.462;226;lklkl;StickerKeyboard;3;1;Mouse;Move;1234;692;none;none
31/07/2018 11:00:55.764;522;lklkl;StickerKeyboard;3;1;Mouse;Move;1234;692;none;none
31/07/2018 11:00:55.772;530;lklkl;StickerKeyboard;3;1;Mouse;Move;1233;692;none;none
31/07/2018 11:00:55.773;538;lklkl;StickerKeyboard;3;1;Mouse;Move;1232;691;none;none
31/07/2018 11:00:55.783;546;lklkl;StickerKeyboard;3;1;Mouse;Move;1226;689;none;none
31/07/2018 11:00:55.793;554;lklkl;StickerKeyboard;3;1;Mouse;Move;1215;683;none;none
31/07/2018 11:00:55.803;567;lklkl;StickerKeyboard;3;1;Mouse;Move;1202;676;none;none
31/07/2018 11:00:55.803;570;lklkl;StickerKeyboard;3;1;Mouse;Move;1172;660;none;none
31/07/2018 11:00:55.823;583;lklkl;StickerKeyboard;3;1;Mouse;Move;1142;643;none;none
31/07/2018 11:00:55.833;600;lklkl;StickerKeyboard;3;1;Mouse;Move;1098;617;none;none
31/07/2018 11:00:55.843;601;lklkl;StickerKeyboard;3;1;Mouse;Move;1057;593;none;none
